Provincias;País de residencia;Meses;Total
Alicante/Alacant;Dinamarca;Junio;756
Alicante/Alacant;Dinamarca;Julio;1.028
Alicante/Alacant;Dinamarca;Agosto;612
Alicante/Alacant;Dinamarca;Septiembre;1.199
Alicante/Alacant;Dinamarca;Octubre;2.141
Alicante/Alacant;Dinamarca;Noviembre;1.163
Alicante/Alacant;Dinamarca;Diciembre;1.400
Alicante/Alacant;Finlandia;Total;28.954
Alicante/Alacant;Finlandia;Enero;4.187
Alicante/Alacant;Finlandia;Febrero;4.645
Alicante/Alacant;Finlandia;Marzo;3.152
Alicante/Alacant;Finlandia;Abril;696
Alicante/Alacant;Finlandia;Mayo;348
Alicante/Alacant;Finlandia;Junio;303
Alicante/Alacant;Finlandia;Julio;82
Alicante/Alacant;Finlandia;Agosto;296
Alicante/Alacant;Finlandia;Septiembre;1.053
Alicante/Alacant;Finlandia;Octubre;3.241
Alicante/Alacant;Finlandia;Noviembre;5.789
Alicante/Alacant;Finlandia;Diciembre;5.162
Alicante/Alacant;Francia;Total;262.601
Alicante/Alacant;Francia;Enero;21.720
Alicante/Alacant;Francia;Febrero;39.028
Alicante/Alacant;Francia;Marzo;21.591
Alicante/Alacant;Francia;Abril;13.079
Alicante/Alacant;Francia;Mayo;12.560
Alicante/Alacant;Francia;Junio;10.400
Alicante/Alacant;Francia;Julio;29.047
Alicante/Alacant;Francia;Agosto;37.124
Alicante/Alacant;Francia;Septiembre;16.871
Alicante/Alacant;Francia;Octubre;27.442
Alicante/Alacant;Francia;Noviembre;18.387
Alicante/Alacant;Francia;Diciembre;15.354
Alicante/Alacant;Grecia;Total;929
Alicante/Alacant;Grecia;Enero;..
Alicante/Alacant;Grecia;Febrero;0
Alicante/Alacant;Grecia;Marzo;570
Alicante/Alacant;Grecia;Abril;0
Alicante/Alacant;Grecia;Mayo;0
Alicante/Alacant;Grecia;Junio;0
Alicante/Alacant;Grecia;Julio;..
Alicante/Alacant;Grecia;Agosto;..
Alicante/Alacant;Grecia;Septiembre;0
Alicante/Alacant;Grecia;Octubre;0
Alicante/Alacant;Grecia;Noviembre;0
Alicante/Alacant;Grecia;Diciembre;0
Alicante/Alacant;Irlanda;Total;78.121
Alicante/Alacant;Irlanda;Enero;5.107
Alicante/Alacant;Irlanda;Febrero;4.365
Alicante/Alacant;Irlanda;Marzo;4.953
Alicante/Alacant;Irlanda;Abril;6.678
Alicante/Alacant;Irlanda;Mayo;8.950
Alicante/Alacant;Irlanda;Junio;8.273
Alicante/Alacant;Irlanda;Julio;9.506
Alicante/Alacant;Irlanda;Agosto;6.183
Alicante/Alacant;Irlanda;Septiembre;5.832
Alicante/Alacant;Irlanda;Octubre;7.249
Alicante/Alacant;Irlanda;Noviembre;5.826
Alicante/Alacant;Irlanda;Diciembre;5.198
Alicante/Alacant;Italia;Total;21.801
Alicante/Alacant;Italia;Enero;1.625
Alicante/Alacant;Italia;Febrero;1.432
Alicante/Alacant;Italia;Marzo;1.205
Alicante/Alacant;Italia;Abril;1.448
Alicante/Alacant;Italia;Mayo;1.280
Alicante/Alacant;Italia;Junio;2.197
Alicante/Alacant;Italia;Julio;1.866
Alicante/Alacant;Italia;Agosto;4.754
Alicante/Alacant;Italia;Septiembre;1.980
Alicante/Alacant;Italia;Octubre;1.537
Alicante/Alacant;Italia;Noviembre;1.128
Alicante/Alacant;Italia;Diciembre;1.351
Alicante/Alacant;Luxemburgo;Total;8.637
Alicante/Alacant;Luxemburgo;Enero;1.444
Alicante/Alacant;Luxemburgo;Febrero;1.351
Alicante/Alacant;Luxemburgo;Marzo;876
Alicante/Alacant;Luxemburgo;Abril;540
Alicante/Alacant;Luxemburgo;Mayo;175
Alicante/Alacant;Luxemburgo;Junio;..
Alicante/Alacant;Luxemburgo;Julio;264
Alicante/Alacant;Luxemburgo;Agosto;316
Alicante/Alacant;Luxemburgo;Septiembre;189
Alicante/Alacant;Luxemburgo;Octubre;764
Alicante/Alacant;Luxemburgo;Noviembre;1.335
Alicante/Alacant;Luxemburgo;Diciembre;1.203
Alicante/Alacant;Países Bajos;Total;544.656
Alicante/Alacant;Países Bajos;Enero;72.077
Alicante/Alacant;Países Bajos;Febrero;69.038
Alicante/Alacant;Países Bajos;Marzo;58.197
Alicante/Alacant;Países Bajos;Abril;34.958
Alicante/Alacant;Países Bajos;Mayo;32.217
Alicante/Alacant;Países Bajos;Junio;21.575
Alicante/Alacant;Países Bajos;Julio;21.192
Alicante/Alacant;Países Bajos;Agosto;26.288
Alicante/Alacant;Países Bajos;Septiembre;31.502
Alicante/Alacant;Países Bajos;Octubre;56.049
Alicante/Alacant;Países Bajos;Noviembre;59.165
Alicante/Alacant;Países Bajos;Diciembre;62.398
Alicante/Alacant;Portugal;Total;16.716
Alicante/Alacant;Portugal;Enero;..
Alicante/Alacant;Portugal;Febrero;141
Alicante/Alacant;Portugal;Marzo;94
Alicante/Alacant;Portugal;Abril;481
Alicante/Alacant;Portugal;Mayo;376
Alicante/Alacant;Portugal;Junio;1.263
Alicante/Alacant;Portugal;Julio;2.664
Alicante/Alacant;Portugal;Agosto;6.990
Alicante/Alacant;Portugal;Septiembre;3.541
Alicante/Alacant;Portugal;Octubre;549
Alicante/Alacant;Portugal;Noviembre;..
Alicante/Alacant;Portugal;Diciembre;..
Alicante/Alacant;Suecia;Total;100.091
Alicante/Alacant;Suecia;Enero;14.156
Alicante/Alacant;Suecia;Febrero;13.185
Alicante/Alacant;Suecia;Marzo;11.778
Alicante/Alacant;Suecia;Abril;4.426
Alicante/Alacant;Suecia;Mayo;2.831
Alicante/Alacant;Suecia;Junio;2.185
Alicante/Alacant;Suecia;Julio;1.751
Alicante/Alacant;Suecia;Agosto;2.110
Alicante/Alacant;Suecia;Septiembre;5.104
Alicante/Alacant;Suecia;Octubre;14.069
Alicante/Alacant;Suecia;Noviembre;14.961
Alicante/Alacant;Suecia;Diciembre;13.534
Alicante/Alacant;Resto de la UE;Total;27.660
Alicante/Alacant;Resto de la UE;Enero;2.259
Alicante/Alacant;Resto de la UE;Febrero;1.513
Alicante/Alacant;Resto de la UE;Marzo;2.075
Alicante/Alacant;Resto de la UE;Abril;2.166
Alicante/Alacant;Resto de la UE;Mayo;2.702
Alicante/Alacant;Resto de la UE;Junio;1.757
Alicante/Alacant;Resto de la UE;Julio;2.347
Alicante/Alacant;Resto de la UE;Agosto;2.462
Alicante/Alacant;Resto de la UE;Septiembre;2.669
Alicante/Alacant;Resto de la UE;Octubre;2.600
Alicante/Alacant;Resto de la UE;Noviembre;1.989
Alicante/Alacant;Resto de la UE;Diciembre;3.120
Alicante/Alacant;Reino Unido;Total;1.845.961
Alicante/Alacant;Reino Unido;Enero;135.299
Alicante/Alacant;Reino Unido;Febrero;120.844
Alicante/Alacant;Reino Unido;Marzo;120.503
Alicante/Alacant;Reino Unido;Abril;170.367
Alicante/Alacant;Reino Unido;Mayo;185.374
Alicante/Alacant;Reino Unido;Junio;168.755
Alicante/Alacant;Reino Unido;Julio;162.289
Alicante/Alacant;Reino Unido;Agosto;173.281
Alicante/Alacant;Reino Unido;Septiembre;157.264
Alicante/Alacant;Reino Unido;Octubre;204.353
Alicante/Alacant;Reino Unido;Noviembre;125.074
Alicante/Alacant;Reino Unido;Diciembre;122.558
Alicante/Alacant;Otros países europeos;Total;151.158
Alicante/Alacant;Otros países europeos;Enero;17.838
Alicante/Alacant;Otros países europeos;Febrero;16.662
Alicante/Alacant;Otros países europeos;Marzo;28.260
Alicante/Alacant;Otros países europeos;Abril;9.059
Alicante/Alacant;Otros países europeos;Mayo;7.289
Alicante/Alacant;Otros países europeos;Junio;5.816
Alicante/Alacant;Otros países europeos;Julio;5.691
Alicante/Alacant;Otros países europeos;Agosto;5.571
Alicante/Alacant;Otros países europeos;Septiembre;7.894
Alicante/Alacant;Otros países europeos;Octubre;15.952
Alicante/Alacant;Otros países europeos;Noviembre;14.527
Alicante/Alacant;Otros países europeos;Diciembre;16.599
Alicante/Alacant;Estados Unidos;Total;2.320
Alicante/Alacant;Estados Unidos;Enero;113
Alicante/Alacant;Estados Unidos;Febrero;192
Alicante/Alacant;Estados Unidos;Marzo;..
Alicante/Alacant;Estados Unidos;Abril;226
Alicante/Alacant;Estados Unidos;Mayo;133
Alicante/Alacant;Estados Unidos;Junio;390
Alicante/Alacant;Estados Unidos;Julio;333
Alicante/Alacant;Estados Unidos;Agosto;204
Alicante/Alacant;Estados Unidos;Septiembre;90
Alicante/Alacant;Estados Unidos;Octubre;183
Alicante/Alacant;Estados Unidos;Noviembre;194
Alicante/Alacant;Estados Unidos;Diciembre;60
Alicante/Alacant;Resto de América;Total;8.024
Alicante/Alacant;Resto de América;Enero;325
Alicante/Alacant;Resto de América;Febrero;..
Alicante/Alacant;Resto de América;Marzo;316
Alicante/Alacant;Resto de América;Abril;773
