Provincias;Meses;Total
50 Zaragoza;Enero;216
50 Zaragoza;Febrero;219
50 Zaragoza;Marzo;230
50 Zaragoza;Abril;243
50 Zaragoza;Mayo;245
50 Zaragoza;Junio;238
50 Zaragoza;Julio;237
50 Zaragoza;Agosto;242
50 Zaragoza;Septiembre;244
50 Zaragoza;Octubre;268
50 Zaragoza;Noviembre;255
50 Zaragoza;Diciembre;248
